name,artists,genres,release_year,duration,popularity,Danceability,Energy,Key,Liveness,Valence,Tempo,Time Signature
Justified & Ancient - Stand by the Jams,The KLF,"acid house,ambient house,big beat,hip house",1992-08-03,216270,0,0.617,0.872,8.0,0.408,0.504,111.458,4.0
I Know You Want Me (Calle Ocho),Pitbull,"dance pop,miami hip hop,pop",2009-10-23,237120,64,0.825,0.743,2.0,0.237,0.8,127.045,4.0
From the Bottom of My Broken Heart,Britney Spears,"dance pop,pop",1999-01-12,312533,56,0.677,0.665,7.0,0.338,0.706,74.981,4.0
Apeman - 2014 Remastered Version,The Kinks,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter",2014-10-20,233400,42,0.683,0.728,9.0,0.0384,0.833,75.311,4.0
You Can't Always Get What You Want,The Rolling Stones,"album rock,british invasion,classic rock,rock",1969-12-05,448720,0,0.319,0.627,0.0,0.289,0.497,85.818,4.0
Don't Stop - 2004 Remaster,Fleetwood Mac,"album rock,classic rock,rock,soft rock,yacht rock",1977-02-04,193346,79,0.671,0.71,9.0,0.0387,0.834,118.745,4.0
Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid","pop,electropop,etherpop,indie poptimism,pop,pop,pop r&b",2018-07-12,173799,78,0.56,0.68,6.0,0.116,0.319,89.391,4.0
Something About The Way You Look Tonight - Edit Version,Elton John,"glam rock,mellow gold,piano rock,rock",1997-01-01,240546,61,0.48,0.628,6.0,0.0753,0.541,143.412,4.0
Juke Box Hero,Foreigner,"album rock,classic rock,glam metal,hard rock,heartland rock,mellow gold,rock,soft rock",1981,259800,74,0.357,0.653,9.0,0.0844,0.522,176.647,4.0
Mercy,Shawn Mendes,"canadian pop,pop,viral pop",2016-09-23,208733,0,0.562,0.681,11.0,0.11,0.357,148.064,4.0
It's Like That,"Run–D.M.C., Jason Nevins","east coast hip hop,golden age hip hop,hip hop,old school hip hop,queens hip hop,rap",2002-09-10,250626,68,0.852,0.874,7.0,0.133,0.666,129.029,4.0
Here Without You,3 Doors Down,"alternative metal,nu metal,post-grunge,rock",2002-11-12,238733,80,0.557,0.533,10.0,0.205,0.233,143.994,4.0
Listen to the Band - Single Version,The Monkees,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,heartland rock,mellow gold,psychedelic rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop",2003,149106,31,0.26,0.659,2.0,0.499,0.537,184.38,4.0
With A Little Luck - Remastered 1993,Wings,"album rock,beatlesque,classic rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock",1978-03-31,344773,0,0.652,0.372,6.0,0.0923,0.283,111.984,4.0
Sing,Ed Sheeran,"pop,singer-songwriter pop,uk pop",2014-06-21,235382,73,0.818,0.67,8.0,0.0601,0.939,119.988,4.0
Mississippi,Pussycat,nederpop,1976-01-01,273800,58,0.605,0.731,10.0,0.257,0.638,123.332,4.0
Flava,Nathaniel,"australian pop,australian talent show",2016-01-01,185266,5,0.813,0.754,4.0,0.121,0.923,112.962,4.0
Baby Sittin' Boogie - Radio Version,Buzz Clifford,,2016-10-01,122958,6,0.483,0.533,6.0,0.161,0.878,140.11,4.0
Dr. Love,Tina Charles,"disco,hi-nrg",2012-03-20,189320,15,0.736,0.563,2.0,0.166,0.96,102.021,4.0
Landslide (Glee Cast Version) (feat. Gwyneth Paltrow),"Glee Cast, Gwyneth Paltrow","glee club,post-teen pop",2011-03-08,226760,0,0.637,0.416,2.0,0.139,0.588,145.922,4.0
I'm Free,"The Soup Dragons, Junior Reid","britpop,c86,madchester,scottish indie,lovers rock,old school dancehall,reggae,reggae fusion,roots reggae",2012,211693,0,0.648,0.936,7.0,0.0712,0.856,103.272,4.0
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,"pop,uk pop",2015-09-25,278987,68,0.261,0.302,5.0,0.0863,0.0883,81.418,3.0
If You Can't Give Me Love - 2017 Remaster,Suzi Quatro,glam rock,1978-08-12,232994,0,0.667,0.66,9.0,0.0707,0.905,133.867,4.0
Take Yourself Home,Troye Sivan,"australian pop,pop,viral pop",2020-04-01,249369,0,0.364,0.606,5.0,0.106,0.289,99.73,4.0
Give It Up,KC & The Sunshine Band,"disco,mellow gold,new wave pop,soft rock,soul",2016-03-11,254240,73,0.862,0.624,3.0,0.0465,0.882,124.896,4.0
Homecoming,Hey Monday,"candy pop,neon pop punk,pixie,pop emo,pop punk",2008-10-07,238733,47,0.393,0.958,2.0,0.214,0.323,150.074,4.0
Funhouse - Main Version - Clean,P!nk,"dance pop,pop",2009-10-19,203933,24,0.789,0.84,11.0,0.0646,0.821,103.957,4.0
Dangerous Woman,Ariana Grande,pop,2016-05-20,235946,0,0.677,0.604,7.0,0.353,0.297,134.052,3.0
