[ 2023-08-30 16:26:03,409 ] 21 root - sucessfully raised the custom execption
[ 2023-08-30 17:08:11,540 ] 8 root - data ingest started!
[ 2023-08-30 17:08:11,540 ] 13 root - paths are created for data
[ 2023-08-30 17:09:17,711 ] 8 root - data ingest started!
[ 2023-08-30 17:09:17,711 ] 13 root - paths are created for data
[ 2023-08-30 17:09:25,508 ] 8 root - data ingest started!
[ 2023-08-30 17:09:25,508 ] 13 root - paths are created for data
[ 2023-08-30 17:10:02,580 ] 8 root - data ingest started!
[ 2023-08-30 17:10:02,580 ] 13 root - paths are created for data
[ 2023-08-30 17:10:02,581 ] 16 root - class started
[ 2023-08-30 17:11:05,317 ] 8 root - data ingest started!
[ 2023-08-30 17:11:05,317 ] 13 root - paths are created for data
[ 2023-08-30 17:11:05,318 ] 16 root - class started
[ 2023-08-30 17:11:05,318 ] 19 root - data paths !
[ 2023-08-30 17:13:51,004 ] 8 root - data ingest started!
[ 2023-08-30 17:13:51,004 ] 13 root - paths are created for data
[ 2023-08-30 17:13:51,005 ] 16 root - class started
[ 2023-08-30 17:13:51,005 ] 19 root - data paths !
[ 2023-08-30 17:13:51,005 ] 23 root - enter the data ingestion part 2
[ 2023-08-30 17:14:25,185 ] 8 root - data ingest started!
[ 2023-08-30 17:14:25,185 ] 13 root - paths are created for data
[ 2023-08-30 17:14:25,185 ] 16 root - class started
[ 2023-08-30 17:14:25,185 ] 19 root - data paths !
[ 2023-08-30 17:14:25,186 ] 23 root - enter the data ingestion part 2
[ 2023-08-30 17:14:25,289 ] 25 root - data has read sucessfuly
[ 2023-08-30 17:14:25,292 ] 39 root - dataframe had created sucessfuly
[ 2023-08-30 17:14:25,293 ] 41 root - directory has created
[ 2023-08-30 17:14:25,592 ] 45 root - data ingest sucessfully
[ 2023-08-30 17:15:01,578 ] 8 root - data ingest started!
[ 2023-08-30 17:15:01,578 ] 13 root - paths are created for data
[ 2023-08-30 17:15:01,578 ] 18 root - data paths created !
[ 2023-08-30 17:15:01,578 ] 22 root - enter the data ingestion part 2
[ 2023-08-30 17:15:01,673 ] 24 root - data has read sucessfuly
[ 2023-08-30 17:15:01,675 ] 39 root - dataframe had created sucessfuly
[ 2023-08-30 17:15:01,675 ] 41 root - directory has created
[ 2023-08-30 17:15:01,980 ] 45 root - data ingest sucessfully
[ 2023-08-30 18:26:16,136 ] 9 root - data ingest started!
[ 2023-08-30 18:26:16,136 ] 14 root - paths are created for data
[ 2023-08-30 18:26:16,137 ] 19 root - data paths created !
[ 2023-08-30 18:26:16,137 ] 23 root - enter the data ingestion part 2
[ 2023-08-30 18:26:16,400 ] 25 root - data has read sucessfuly
[ 2023-08-30 18:26:16,402 ] 40 root - dataframe had created sucessfuly
[ 2023-08-30 18:26:16,404 ] 42 root - directory has created
[ 2023-08-30 18:26:17,017 ] 46 root - data ingest sucessfully
[ 2023-08-30 18:33:26,854 ] 13 root -  vectorization paths are created
[ 2023-08-30 18:33:26,855 ] 9 root - data ingest started!
[ 2023-08-30 18:33:26,855 ] 14 root - paths are created for data
[ 2023-08-30 18:33:26,857 ] 19 root - data paths created !
[ 2023-08-30 18:33:26,857 ] 23 root - enter the data ingestion part 2
[ 2023-08-30 18:33:27,122 ] 25 root - data has read sucessfuly
[ 2023-08-30 18:33:27,123 ] 40 root - dataframe had created sucessfuly
[ 2023-08-30 18:33:27,123 ] 42 root - directory has created
[ 2023-08-30 18:33:27,710 ] 46 root - data ingest sucessfully
[ 2023-08-30 18:33:27,713 ] 19 root - entered data transformation
[ 2023-08-30 18:33:27,757 ] 21 root - data read sucessfully for transformation!
[ 2023-08-30 18:35:04,154 ] 13 root -  vectorization paths are created
[ 2023-08-30 18:35:04,156 ] 9 root - data ingest started!
[ 2023-08-30 18:35:04,156 ] 14 root - paths are created for data
[ 2023-08-30 18:35:04,157 ] 19 root - data paths created !
[ 2023-08-30 18:35:04,157 ] 23 root - enter the data ingestion part 2
[ 2023-08-30 18:35:04,353 ] 25 root - data has read sucessfuly
[ 2023-08-30 18:35:04,354 ] 40 root - dataframe had created sucessfuly
[ 2023-08-30 18:35:04,355 ] 42 root - directory has created
[ 2023-08-30 18:35:04,951 ] 46 root - data ingest sucessfully
[ 2023-08-30 18:35:04,954 ] 19 root - entered data transformation
[ 2023-08-30 18:35:04,993 ] 21 root - data read sucessfully for transformation!
[ 2023-08-30 18:35:04,997 ] 23 root - dropped duplicates
[ 2023-08-30 18:35:05,005 ] 25 root - data transformed sucess
[ 2023-08-30 18:35:05,103 ] 28 root - vectorization is sucessfully created
[ 2023-08-30 18:35:05,105 ] 31 root - pickle file is created
[ 2023-08-30 19:42:22,071 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:42:22,143 ] 10 root - data ingest started!
[ 2023-08-30 19:42:22,143 ] 15 root - paths are created for data
[ 2023-08-30 19:42:22,291 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:42:22,294 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:46:54,322 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:46:54,353 ] 10 root - data ingest started!
[ 2023-08-30 19:46:54,353 ] 15 root - paths are created for data
[ 2023-08-30 19:46:54,469 ] 186 werkzeug - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[ 2023-08-30 19:46:54,469 ] 186 werkzeug - [33mPress CTRL+C to quit[0m
[ 2023-08-30 19:46:54,471 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:46:55,667 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:46:55,694 ] 10 root - data ingest started!
[ 2023-08-30 19:46:55,694 ] 15 root - paths are created for data
[ 2023-08-30 19:46:55,796 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:46:55,798 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:47:41,051 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:47:41] "[35m[1mGET / HTTP/1.1[0m" 500 -
[ 2023-08-30 19:47:41,405 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:47:41] "[36mGET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2023-08-30 19:47:41,418 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:47:41] "GET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[ 2023-08-30 19:47:41,469 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:47:41] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-08-30 19:47:41,489 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:47:41] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-08-30 19:48:54,632 ] 186 werkzeug -  * Detected change in 'c:\\users\\manoj\\desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 19:48:54,844 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:48:56,211 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:48:56,244 ] 10 root - data ingest started!
[ 2023-08-30 19:48:56,244 ] 15 root - paths are created for data
[ 2023-08-30 19:48:56,380 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:48:56,385 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:49:04,355 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:49:04,383 ] 10 root - data ingest started!
[ 2023-08-30 19:49:04,383 ] 15 root - paths are created for data
[ 2023-08-30 19:49:04,505 ] 186 werkzeug - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[ 2023-08-30 19:49:04,505 ] 186 werkzeug - [33mPress CTRL+C to quit[0m
[ 2023-08-30 19:49:04,507 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:49:05,757 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:49:05,784 ] 10 root - data ingest started!
[ 2023-08-30 19:49:05,784 ] 15 root - paths are created for data
[ 2023-08-30 19:49:05,893 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:49:05,896 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:49:50,794 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:49:50] "[35m[1mGET / HTTP/1.1[0m" 500 -
[ 2023-08-30 19:49:50,946 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:49:50] "[36mGET /?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2023-08-30 19:49:50,950 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:49:50] "[36mGET /?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2023-08-30 19:49:50,963 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:49:50] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-08-30 19:49:50,972 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:49:50] "[36mGET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-08-30 19:50:02,938 ] 186 werkzeug -  * Detected change in 'c:\\Users\\manoj\\Desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 19:50:03,177 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:50:04,655 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:50:04,693 ] 10 root - data ingest started!
[ 2023-08-30 19:50:04,693 ] 15 root - paths are created for data
[ 2023-08-30 19:50:04,830 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:50:04,833 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:50:09,201 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:50:09] "GET / HTTP/1.1" 200 -
[ 2023-08-30 19:50:15,516 ] 186 werkzeug - 127.0.0.1 - - [30/Aug/2023 19:50:15] "POST / HTTP/1.1" 200 -
[ 2023-08-30 19:50:54,895 ] 186 werkzeug -  * Detected change in 'c:\\users\\manoj\\desktop\\music_recommendation\\app.py', reloading
[ 2023-08-30 19:50:55,141 ] 186 werkzeug -  * Restarting with stat
[ 2023-08-30 19:50:56,575 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:50:56,604 ] 10 root - data ingest started!
[ 2023-08-30 19:50:56,604 ] 15 root - paths are created for data
[ 2023-08-30 19:50:56,717 ] 186 werkzeug -  * Debugger is active!
[ 2023-08-30 19:50:56,720 ] 186 werkzeug -  * Debugger PIN: 859-219-915
[ 2023-08-30 19:51:26,231 ] 13 root -  vectorization paths are created
[ 2023-08-30 19:51:26,258 ] 10 root - data ingest started!
[ 2023-08-30 19:51:26,258 ] 15 root - paths are created for data
[ 2023-08-30 19:51:26,368 ] 186 werkzeug - [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
[ 2023-08-30 19:51:26,368 ] 186 werkzeug - [33mPress CTRL+C to quit[0m
[ 2023-08-30 19:51:26,369 ] 186 werkzeug -  * Restarting with stat
